NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;AGE_AVE;;;;;;;;;;;
AT13;91900;91900;2016;20160101;43,83;;;;;;;;;;;
AT13;91900;91900;2017;20170101;43,81;;;;;;;;;;;
AT13;91900;91900;2018;20180101;43,78;;;;;;;;;;;
AT13;91900;91900;2019;20190101;43,84;;;;;;;;;;;
AT13;91900;91900;2020;20200101;43,90;;;;;;;;;;;
AT13;91900;91900;2021;20210101;44,07;;;;;;;;;;;
AT13;91900;91900;2022;20220101;44,13;;;;;;;;;;;
AT13;91900;91900;2023;20230101;43,92;;;;;;;;;;;
AT13;91900;91900;2024;20240101;44,05;;;;;;;;;;;
AT13;92000;92000;2002;20020101;40,51;;;;;;;;;;;
AT13;92000;92000;2003;20030101;40,08;;;;;;;;;;;
AT13;92000;92000;2004;20040101;39,82;;;;;;;;;;;
AT13;92000;92000;2005;20050101;39,64;;;;;;;;;;;
AT13;92000;92000;2006;20060101;39,71;;;;;;;;;;;
AT13;92000;92000;2007;20070101;39,69;;;;;;;;;;;
AT13;92000;92000;2008;20080101;39,73;;;;;;;;;;;
AT13;92000;92000;2009;20090101;39,74;;;;;;;;;;;
AT13;92000;92000;2010;20100101;39,77;;;;;;;;;;;
AT13;92000;92000;2011;20110101;39,75;;;;;;;;;;;
AT13;92000;92000;2012;20120101;39,80;;;;;;;;;;;
AT13;92000;92000;2013;20130101;39,80;;;;;;;;;;;
AT13;92000;92000;2014;20140101;39,86;;;;;;;;;;;
AT13;92000;92000;2015;20150101;39,75;;;;;;;;;;;
AT13;92000;92000;2016;20160101;39,82;;;;;;;;;;;
AT13;92000;92000;2017;20170101;39,76;;;;;;;;;;;
AT13;92000;92000;2018;20180101;39,81;;;;;;;;;;;
AT13;92000;92000;2019;20190101;40,04;;;;;;;;;;;
AT13;92000;92000;2020;20200101;40,14;;;;;;;;;;;
AT13;92000;92000;2021;20210101;40,40;;;;;;;;;;;
AT13;92000;92000;2022;20220101;40,54;;;;;;;;;;;
AT13;92000;92000;2023;20230101;40,43;;;;;;;;;;;
AT13;92000;92000;2024;20240101;40,35;;;;;;;;;;;
AT13;92100;92100;2002;20020101;40,33;;;;;;;;;;;
AT13;92100;92100;2003;20030101;40,32;;;;;;;;;;;
AT13;92100;92100;2004;20040101;40,38;;;;;;;;;;;
AT13;92100;92100;2005;20050101;40,49;;;;;;;;;;;
AT13;92100;92100;2006;20060101;40,60;;;;;;;;;;;
AT13;92100;92100;2007;20070101;40,77;;;;;;;;;;;
AT13;92100;92100;2008;20080101;40,92;;;;;;;;;;;
AT13;92100;92100;2009;20090101;41,04;;;;;;;;;;;
AT13;92100;92100;2010;20100101;41,17;;;;;;;;;;;
AT13;92100;92100;2011;20110101;41,24;;;;;;;;;;;
AT13;92100;92100;2012;20120101;41,27;;;;;;;;;;;
AT13;92100;92100;2013;20130101;41,23;;;;;;;;;;;
AT13;92100;92100;2014;20140101;41,23;;;;;;;;;;;
AT13;92100;92100;2015;20150101;41,25;;;;;;;;;;;
AT13;92100;92100;2016;20160101;41,15;;;;;;;;;;;
AT13;92100;92100;2017;20170101;41,14;;;;;;;;;;;
AT13;92100;92100;2018;20180101;40,98;;;;;;;;;;;
AT13;92100;92100;2019;20190101;40,98;;;;;;;;;;;
AT13;92100;92100;2020;20200101;41,01;;;;;;;;;;;
AT13;92100;92100;2021;20210101;40,77;;;;;;;;;;;
AT13;92100;92100;2022;20220101;40,66;;;;;;;;;;;
AT13;92100;92100;2023;20230101;40,57;;;;;;;;;;;
AT13;92100;92100;2024;20240101;40,60;;;;;;;;;;;
AT13;92200;92200;2002;20020101;38,13;;;;;;;;;;;
AT13;92200;92200;2003;20030101;38,27;;;;;;;;;;;
AT13;92200;92200;2004;20040101;38,44;;;;;;;;;;;
AT13;92200;92200;2005;20050101;38,62;;;;;;;;;;;
AT13;92200;92200;2006;20060101;38,83;;;;;;;;;;;
AT13;92200;92200;2007;20070101;39,08;;;;;;;;;;;
AT13;92200;92200;2008;20080101;39,29;;;;;;;;;;;
AT13;92200;92200;2009;20090101;39,48;;;;;;;;;;;
AT13;92200;92200;2010;20100101;39,66;;;;;;;;;;;
AT13;92200;92200;2011;20110101;39,82;;;;;;;;;;;
AT13;92200;92200;2012;20120101;39,94;;;;;;;;;;;
AT13;92200;92200;2013;20130101;39,95;;;;;;;;;;;
AT13;92200;92200;2014;20140101;40,07;;;;;;;;;;;
AT13;92200;92200;2015;20150101;40,11;;;;;;;;;;;
AT13;92200;92200;2016;20160101;39,93;;;;;;;;;;;
AT13;92200;92200;2017;20170101;40,01;;;;;;;;;;;
AT13;92200;92200;2018;20180101;40,14;;;;;;;;;;;
AT13;92200;92200;2019;20190101;40,17;;;;;;;;;;;
AT13;92200;92200;2020;20200101;40,25;;;;;;;;;;;
AT13;92200;92200;2021;20210101;40,40;;;;;;;;;;;
AT13;92200;92200;2022;20220101;40,42;;;;;;;;;;;
AT13;92200;92200;2023;20230101;40,32;;;;;;;;;;;
AT13;92200;92200;2024;20240101;40,24;;;;;;;;;;;
AT13;92300;92300;2002;20020101;41,47;;;;;;;;;;;
AT13;92300;92300;2003;20030101;41,59;;;;;;;;;;;
AT13;92300;92300;2004;20040101;41,70;;;;;;;;;;;
AT13;92300;92300;2005;20050101;41,89;;;;;;;;;;;
AT13;92300;92300;2006;20060101;41,98;;;;;;;;;;;
AT13;92300;92300;2007;20070101;42,02;;;;;;;;;;;
AT13;92300;92300;2008;20080101;42,16;;;;;;;;;;;
AT13;92300;92300;2009;20090101;42,39;;;;;;;;;;;
AT13;92300;92300;2010;20100101;42,57;;;;;;;;;;;
AT13;92300;92300;2011;20110101;42,70;;;;;;;;;;;
AT13;92300;92300;2012;20120101;42,80;;;;;;;;;;;
AT13;92300;92300;2013;20130101;42,90;;;;;;;;;;;
AT13;92300;92300;2014;20140101;43,06;;;;;;;;;;;
AT13;92300;92300;2015;20150101;43,14;;;;;;;;;;;
AT13;92300;92300;2016;20160101;43,08;;;;;;;;;;;
AT13;92300;92300;2017;20170101;42,89;;;;;;;;;;;
AT13;92300;92300;2018;20180101;42,74;;;;;;;;;;;
AT13;92300;92300;2019;20190101;42,62;;;;;;;;;;;
AT13;92300;92300;2020;20200101;42,33;;;;;;;;;;;
AT13;92300;92300;2021;20210101;42,32;;;;;;;;;;;
AT13;92300;92300;2022;20220101;42,09;;;;;;;;;;;
AT13;92300;92300;2023;20230101;42,10;;;;;;;;;;;
AT13;92300;92300;2024;20240101;42,04;;;;;;;;;;;
